,username,content_id,rating
772,ZION-LION,6795.0,8.0
773,Rangan,201088.0,6.0
774,Fixyf,201088.0,7.0
775,garethmb,597208.0,7.0
776,ChrisSawin,597208.0,7.0
777,narrator56,652004.0,7.0
778,msbreviews,587496.0,5.0
779,Ruuz,345887.0,6.0
780,John Chard,1885.0,8.0
781,Wuchak,1885.0,9.0
782,r96sk,1885.0,7.0
783,Frank Ochieng,257445.0,7.0
784,Rangan,257445.0,6.0
785,John Chard,257445.0,7.0
786,Ruuz,257445.0,4.0
787,Ruuz,257445.0,4.0
788,brekkil,136400.0,4.0
789,Rangan,241259.0,6.0
790,r96sk,241259.0,7.0
791,Ruuz,428078.0,4.0
792,TalisBriedis,428078.0,9.0
793,Dark Jedi,428078.0,9.0
794,Ruuz,9792.0,8.0
795,FWMAM,579047.0,8.0
796,JPV852,579047.0,5.0
797,itsogs,579047.0,6.0
798,write2topcat,152259.0,9.0
799,Kamurai,615665.0,7.0
800,r96sk,615665.0,6.0
801,narrator56,615665.0,7.0
802,John Chard,924.0,8.0
803,Kamurai,924.0,9.0
804,Dave09,12.0,7.0
805,r96sk,12.0,9.0
806,johnmills,12.0,10.0
807,tmdb70752507,14.0,10.0
808,John Chard,22.0,9.0
809,tmdb13206453,24.0,10.0
810,John Chard,24.0,8.0
811,Wuchak,24.0,7.0
812,Wuchak,70.0,6.0
813,RMoore35,73.0,9.0
814,Kamurai,75.0,6.0
815,Ruuz,83.0,3.0
816,nairtejas,83.0,6.0
